Timestep,1Hz,,
Voltage,Current,Bat_Temp,ambient_Temp
3.2072,-3.0297,31.135785,31.051831
3.2065,-3.0376,31.13351,31.042223
3.2065,-2.9952,31.138174,31.044322
3.2073,-3.0083,31.144684,31.048266
3.2054,-3.0088,31.151814,31.043665
3.2049,-3.0446,31.127568,31.04948
3.2076,-2.997,31.141334,31.046382
3.2047,-2.9978,31.155783,31.034435
3.2061,-2.9884,31.136834,31.053247
3.205,-2.9968,31.151106,31.045523
3.2051,-3.0035,31.146593,31.045775
3.2061,-2.9709,31.149741,31.048924
3.205,-3.0283,31.160738,31.05039
3.2049,-2.9926,31.157579,31.052363
3.2047,-3.016,31.158021,31.04254
3.2041,-3.0193,31.159803,31.03809
3.2054,-2.9828,31.165112,31.045599
3.2059,-2.9793,31.167463,31.050149
3.2044,-2.9817,31.16568,31.051666
3.2046,-2.9992,31.173088,31.059808
3.2043,-3.0091,31.178788,31.039112
3.2037,-2.9837,31.166324,31.046444
3.2039,-3.0043,31.169979,31.058165
3.2051,-3.0007,31.193479,31.045372
3.205,-2.9871,31.191066,31.051024
3.2049,-2.9874,31.185907,31.050631
3.204,-3.0323,31.189181,31.039973
3.2034,-2.9768,31.196739,31.038734
3.2039,-2.9956,31.193706,31.051465
3.2036,-2.9931,31.190356,31.055814
3.2049,-2.9895,31.197207,31.0513
3.2044,-2.9967,31.214461,31.055358
3.2038,-3.0554,31.191745,31.060502
3.2035,-2.9994,31.201669,31.052097
3.2042,-2.9933,31.201683,31.05541
3.2036,-3.0117,31.215297,31.072692
3.2052,-2.9888,31.205853,31.058114
3.2034,-3.0012,31.207017,31.071377
3.2038,-2.9873,31.202112,31.070137
3.2052,-2.9674,31.216839,31.050037
3.2046,-2.9591,31.222564,31.061263
3.2035,-3.0011,31.224044,31.054677
3.2038,-3.0088,31.237518,31.063753
3.2036,-3.0274,31.228379,31.064145
3.2042,-3.0239,31.22609,31.045358
3.2035,-3.0244,31.235254,31.044992
3.2046,-2.9975,31.240134,31.06637
3.2038,-3.0144,31.233813,31.061515
3.2039,-2.9896,31.247578,31.053284
3.2033,-3.0078,31.246075,31.051414
3.2032,-2.9974,31.249032,31.067571
3.203,-2.9673,31.246164,31.061036
3.2035,-2.9824,31.247048,31.061187
3.2027,-3.0101,31.257477,31.068684
3.2029,-3.0527,31.260939,31.052716
3.2029,-3.0113,31.271166,31.057078
3.2016,-3.0247,31.265997,31.061808
3.2023,-3.0235,31.265908,31.067951
3.2031,-3.0111,31.268778,31.058723
3.2034,-2.997,31.264581,31.054526
3.2032,-3.0366,31.272279,31.054526
3.2036,-2.9644,31.263658,31.061668
3.2021,-2.9937,31.290719,31.06307
3.2026,-2.9885,31.286549,31.061466
3.2019,-3.0234,31.28459,31.070506
3.2022,-3.027,31.280077,31.063425
3.2026,-3.0221,31.282668,31.055752
3.202,-2.9874,31.295598,31.059885
3.2031,-3.0066,31.295573,31.073425
3.2026,-3.0174,31.295573,31.06206
3.2025,-3.0338,31.296785,31.08087
3.2015,-3.0324,31.306354,31.06771
3.2037,-3.0016,31.311637,31.059063
3.2031,-2.9988,31.304256,31.075144
3.2029,-3.0033,31.318121,31.085711
3.2023,-2.9987,31.319055,31.078214
3.2019,-2.99,31.316998,31.067724
3.2034,-3.0154,31.31352,31.073045
3.2025,-3.0183,31.29063,31.054916
3.2021,-2.9787,31.325577,31.071906
3.2023,-3.0029,31.329092,31.068089
3.2019,-3.0082,31.338331,31.083929
3.2026,-3.0041,31.340175,31.073675
3.2021,-2.9759,31.327967,31.070996
3.2023,-2.9717,31.321811,31.05934
3.2029,-2.9829,31.340631,31.065699
3.2022,-2.9894,31.337256,31.066356
3.2022,-3.0375,31.33943,31.073664
3.2026,-3.0014,31.330936,31.076899
3.2034,-2.9855,31.344259,31.071528
3.201,-3.0044,31.340202,31.068203
3.2022,-3.0173,31.352852,31.081223
3.2026,-3.0317,31.349125,31.078228
3.202,-3.0112,31.355583,31.073689
3.2001,-3.0426,31.355812,31.074284
3.2021,-3.0068,31.375325,31.069606
3.2012,-2.9843,31.372899,31.073411
3.202,-2.9739,31.3606,31.073208
3.2016,-2.9861,31.369346,31.085622
3.2024,-3.0218,31.381303,31.050289
